Code;Field;Subject area;General field id
2745;Rheumatology;Health Sciences
2746;Surgery;Health Sciences
2747;Transplantation;Health Sciences
2748;Urology;Health Sciences
2800;General Neuroscience;Life Sciences
2801;Neuroscience (miscellaneous);Life Sciences
2802;Behavioral Neuroscience;Life Sciences
2803;Biological Psychiatry;Life Sciences
2804;Cellular and Molecular Neuroscience;Life Sciences
2805;Cognitive Neuroscience;Life Sciences
2806;Developmental Neuroscience;Life Sciences
2807;Endocrine and Autonomic Systems;Life Sciences
2808;Neurology;Life Sciences
2809;Sensory Systems;Life Sciences
2900;General Nursing;Health Sciences
2901;Nursing (miscellaneous);Health Sciences
2902;Advanced and Specialized Nursing;Health Sciences
2903;Assessment and Diagnosis;Health Sciences
2904;Care Planning;Health Sciences
2905;Community and Home Care;Health Sciences
2906;Critical Care Nursing;Health Sciences
2907;Emergency Nursing;Health Sciences
2908;Fundamentals and skills;Health Sciences
2909;Gerontology;Health Sciences
2910;Issues, ethics and legal aspects;Health Sciences
2911;Leadership and Management;Health Sciences
2912;LPN and LVN;Health Sciences
2913;Maternity and Midwifery;Health Sciences
2914;Medical–Surgical Nursing;Health Sciences
2915;Nurse Assisting;Health Sciences
2916;Nutrition and Dietetics;Health Sciences
2917;Oncology (nursing);Health Sciences
2918;Pathophysiology;Health Sciences
2919;Pediatrics;Health Sciences
2920;Pharmacology (nursing);Health Sciences
2921;Pshychiatric Mental Health;Health Sciences
2922;Research and Theory;Health Sciences
2923;Review and Exam Preparation;Health Sciences
3000;General Pharmacology, Toxicology and Pharmaceutics;Life Sciences
3001;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Life Sciences
3002;Drug Discovery;Life Sciences
3003;Pharmaceutical Science;Life Sciences
3004;Pharmacology;Life Sciences
3005;Toxicology;Life Sciences
3100;General Physics and Astronomy;Physical Sciences
3101;Physics and Astronomy (miscellaneous);Physical Sciences
3102;Acoustics and Ultrasonics;Physical Sciences
3103;Astronomy and Astrophysics;Physical Sciences
3104;Condensed Matter Physics;Physical Sciences
3105;Instrumentation;Physical Sciences
3106;Nuclear and High Energy Physics;Physical Sciences
3107;Atomic and Molecular Physics, and Optics;Physical Sciences
3108;Radiation;Physical Sciences
3109;Statistical and Nonlinear Physics;Physical Sciences
3110;Surfaces and Interfaces;Physical Sciences
3200;General Psychology;Social Sciences & Humanities
3201;Psychology (miscellaneous);Social Sciences & Humanities
3202;Applied Psychology;Social Sciences & Humanities
3203;Clinical Psychology;Social Sciences & Humanities
3204;Developmental and Educational Psychology;Social Sciences & Humanities
3205;Experimental and Cognitive Psychology;Social Sciences & Humanities
3206;Neuropsychology and Physiological Psychology;Social Sciences & Humanities
3207;Social Psychology;Social Sciences & Humanities
3300;General Social Sciences;Social Sciences & Humanities
3301;Social Sciences (miscellaneous);Social Sciences & Humanities
3302;Archeology (social sciences);Social Sciences & Humanities
3303;Development;Social Sciences & Humanities
3304;Education;Social Sciences & Humanities
3305;Geography, Planning and Development;Social Sciences & Humanities
3306;Health (social science);Social Sciences & Humanities
3307;Human Factors and Ergonomics;Social Sciences & Humanities
3308;Law;Social Sciences & Humanities
3309;Library and Information Sciences;Social Sciences & Humanities
3310;Linguistics and Language;Social Sciences & Humanities
3311;Safety Research;Social Sciences & Humanities
3312;Sociology and Political Science;Social Sciences & Humanities
3313;Transportation;Social Sciences & Humanities
3314;Anthropology;Social Sciences & Humanities
3315;Communication;Social Sciences & Humanities
3316;Cultural Studies;Social Sciences & Humanities
3317;Demography;Social Sciences & Humanities
3318;Gender Studies;Social Sciences & Humanities
3319;Life-span and Life-course Studies;Social Sciences & Humanities
3320;Political Science and International Relations;Social Sciences & Humanities
3321;Public Administration;Social Sciences & Humanities
3322;Urban Studies;Social Sciences & Humanities
3400;General Veterinary;Health Sciences
3401;Veterinary (miscellaneous);Health Sciences
3402;Equine;Health Sciences
3403;Food Animals;Health Sciences
3404;Small Animals;Health Sciences
3500;General Dentistry;Health Sciences
3501;Dentistry (miscellaneous);Health Sciences
3502;Dental Assisting;Health Sciences
3503;Dental Hygiene;Health Sciences
3504;Oral Surgery;Health Sciences
3505;Orthodontics;Health Sciences
3506;Periodontics;Health Sciences
3600;General Health Professions;Health Sciences
3601;Health Professions (miscellaneous);Health Sciences
3602;Chiropractics;Health Sciences
3603;Complementary and Manual Therapy;Health Sciences
3604;Emergency Medical Services;Health Sciences
3605;Health Information Management;Health Sciences
3606;Medical Assisting and Transcription;Health Sciences
3607;Medical Laboratory Technology;Health Sciences
3608;Medical Terminology;Health Sciences
3609;Occupational Therapy;Health Sciences
3610;Optometry;Health Sciences
3611;Pharmacy;Health Sciences
3612;Physical Therapy, Sports Therapy and Rehabilitation;Health Sciences
3613;Podiatry;Health Sciences
3614;Radiological and Ultrasound Technology;Health Sciences
3615;Respiratory Care;Health Sciences
3616;Speech and Hearing;Health Sciences
